departamento,municipio,DANE_code,weapon,date,gender,age_group,quantity
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,24/03/2023,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,16/04/2023,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,18/05/2023,FEMENINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,30/06/2023,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,19/07/2023,MASCULINO,ADOLESCENTES,1
AMAZONAS,LETICIA (CT),91798000,ARMA BLANCA / CORTOPUNZANTE,29/08/2023,MASCULINO,ADULTOS,1
ANTIOQUIA,AMAGA,05030000,ARMA BLANCA / CORTOPUNZANTE,01/01/2023,MASCULINO,ADULTOS,1
ANTIOQUIA,AMAGA,05030000,ARMA BLANCA / CORTOPUNZANTE,14/01/2023,MASCULINO,ADULTOS,1
ANTIOQUIA,AMAGA,05030000,ARMA BLANCA / CORTOPUNZANTE,12/06/2023,MASCULINO,ADULTOS,1
ANTIOQUIA,AMAGA,05030000,ARMA BLANCA / CORTOPUNZANTE,10/12/2023,MASCULINO,ADULTOS,1
ANTIOQUIA,AMALFI,05031000,ARMA BLANCA / CORTOPUNZANTE,27/05/2023,MASCULINO,ADULTOS,1
ANTIOQUIA,AMALFI,05031000,ARMA BLANCA / CORTOPUNZANTE,29/05/2023,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,08/01/2023,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,12/02/2023,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,30/03/2023,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,16/06/2023,MASCULINO,ADULTOS,1
