"","departamento","municipio","DANE_code","weapon","day","month","year","gender","age_group"
"1","ANTIOQUIA","AMAGA",5030000,"ARMA BLANCA / CORTOPUNZANTE","1","01","2010","MASCULINO","ADULTOS"
"2","ANTIOQUIA","MEDELLIN (CT)",5001000,"ARMA BLANCA / CORTOPUNZANTE","1","01","2010","MASCULINO","ADULTOS"
"3","ANTIOQUIA","RIONEGRO",5615000,"ARMA BLANCA / CORTOPUNZANTE","1","01","2010","MASCULINO","ADULTOS"
"4","ATLANTICO","BARRANQUILLA (CT)",8001000,"ARMA BLANCA / CORTOPUNZANTE","1","01","2010","MASCULINO","ADULTOS"
"5","ATLANTICO","MALAMBO",8433000,"ARMA BLANCA / CORTOPUNZANTE","1","01","2010","MASCULINO","ADULTOS"
"6","CALDAS","SAN JOSE",17665000,"ARMA BLANCA / CORTOPUNZANTE","1","01","2010","MASCULINO","ADULTOS"
"7","CAQUETA","CARTAGENA DEL CHAIRA",18150000,"ARMA BLANCA / CORTOPUNZANTE","1","01","2010","MASCULINO","ADULTOS"
"8","CAQUETA","CURILLO",18205000,"ARMA BLANCA / CORTOPUNZANTE","1","01","2010","MASCULINO","ADULTOS"
"9","CAUCA","ARGELIA",19050000,"ARMA BLANCA / CORTOPUNZANTE","1","01","2010","MASCULINO","ADULTOS"
"10","CAUCA","CAJIBIO",19130000,"ARMA BLANCA / CORTOPUNZANTE","1","01","2010","MASCULINO","ADULTOS"
"11","CESAR","PAILITAS",20517000,"ARMA BLANCA / CORTOPUNZANTE","1","01","2010","MASCULINO","ADULTOS"
"12","CUNDINAMARCA","BOGOTA D.C. (CT)",11001000,"ARMA BLANCA / CORTOPUNZANTE","1","01","2010","FEMENINO","ADULTOS"
"13","CUNDINAMARCA","BOGOTA D.C. (CT)",11001000,"ARMA BLANCA / CORTOPUNZANTE","1","01","2010","MASCULINO","ADOLESCENTES"
"14","CUNDINAMARCA","BOGOTA D.C. (CT)",11001000,"ARMA BLANCA / CORTOPUNZANTE","1","01","2010","MASCULINO","ADULTOS"
"15","CUNDINAMARCA","BOGOTA D.C. (CT)",11001000,"ARMA BLANCA / CORTOPUNZANTE","1","01","2010","MASCULINO","ADULTOS"
"16","CUNDINAMARCA","BOGOTA D.C. (CT)",11001000,"ARMA BLANCA / CORTOPUNZANTE","1","01","2010","MASCULINO","ADULTOS"
